City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Klaksvik,FO,62.2266,-6.589,56.32,94,100,7.38,overcast clouds
1,Sola,VU,-13.8833,167.55,77.97,74,19,3.31,few clouds
2,Saint Anthony,US,45.0205,-93.218,84.34,66,100,4.0,overcast clouds
3,Alofi,NU,-19.0595,-169.9187,73.69,69,81,5.17,broken clouds
4,Leh,IN,34.1667,77.5833,61.09,53,51,7.2,broken clouds
5,Kapaa,US,22.0752,-159.319,82.38,80,19,3.0,light rain
6,Husavik,IS,66.0449,-17.3389,55.31,83,73,5.68,broken clouds
7,Hilo,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
8,Cape Town,ZA,-33.9258,18.4232,57.61,83,0,1.99,clear sky
9,Adrar,MR,20.5022,-10.0711,96.73,14,9,13.35,clear sky
10,Rikitea,PF,-23.1203,-134.9692,73.96,75,21,16.35,few clouds
11,Taolanaro,MG,-22.8167,47.8333,65.43,86,56,8.86,light rain
12,Punta Arenas,CL,-53.15,-70.9167,44.11,73,80,11.07,broken clouds
13,Hofn,IS,66.0449,-17.3389,55.31,83,73,5.68,broken clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,73.54,84,79,7.0,broken clouds
15,Henties Bay,NA,-22.116,14.2845,54.86,85,3,8.84,clear sky
16,Hermanus,ZA,-33.9258,18.4232,57.61,83,0,1.99,clear sky
17,Port Alfred,ZA,-33.9258,18.4232,57.61,83,0,1.99,clear sky
18,Ushuaia,AR,-54.8,-68.3,49.62,75,75,36.82,broken clouds
19,Georgetown,MY,5.4112,100.3354,81.9,85,20,1.01,few clouds
20,Thompson,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
21,Gat,IL,31.61,34.7642,90.39,35,0,4.29,clear sky
22,Labutta,MM,22.9333,97.75,69.49,99,100,0.81,overcast clouds
23,Qaanaaq,GL,77.484,-69.3632,46.87,60,39,1.52,scattered clouds
24,Kavaratti,IN,10.5669,72.642,82.18,80,100,21.03,overcast clouds
25,Sao Filipe,CV,14.8961,-24.4956,78.39,90,98,6.24,overcast clouds
26,Hobart,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
27,New Norfolk,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
28,Itaqui,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
29,Ponta Do Sol,CV,14.8961,-24.4956,78.39,90,98,6.24,overcast clouds
30,Hithadhoo,MV,-0.6,73.0833,80.71,77,99,7.52,moderate rain
31,Moses Lake,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
32,Springville,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
33,Karpathos,GR,35.507,27.2132,81.68,67,0,12.3,clear sky
34,Yellowknife,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
35,Jamestown,MY,5.4112,100.3354,81.9,85,20,1.01,few clouds
36,Saint-Augustin,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
37,Chuy,UY,-33.6971,-53.4616,59.05,85,94,9.15,overcast clouds
38,Bredasdorp,ZA,-33.9258,18.4232,57.61,83,0,1.99,clear sky
39,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,84,0,6.98,clear sky
40,Busselton,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
41,Illoqqortoormiut,GL,77.484,-69.3632,46.87,60,39,1.52,scattered clouds
42,Avarua,CK,-21.2078,-159.775,77.05,65,49,6.91,scattered clouds
43,Bluff,NZ,-46.6,168.3333,39.79,86,76,8.12,broken clouds
44,Albany,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
45,Aklavik,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
46,Cururupu,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
47,Meulaboh,ID,4.1363,96.1285,76.6,82,100,3.78,overcast clouds
48,Vaini,TO,-21.2,-175.2,69.96,88,75,1.14,broken clouds
49,Atuona,PF,-23.1203,-134.9692,73.96,75,21,16.35,few clouds
50,Chicama,PE,-7.8447,-79.1469,72.82,62,0,9.78,clear sky
51,Plettenberg Bay,ZA,-33.9258,18.4232,57.61,83,0,1.99,clear sky
52,Curuguaty,PY,-23.4923,-58.7972,78.22,25,100,5.93,overcast clouds
53,Kandi,BJ,11.1342,2.9386,72.48,96,81,4.99,broken clouds
54,Geraldton,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
55,Nome,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
56,Mancheral,IN,10.5669,72.642,82.18,80,100,21.03,overcast clouds
57,Tasiilaq,GL,77.484,-69.3632,46.87,60,39,1.52,scattered clouds
58,Broken Hill,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
59,East London,ZA,-33.9258,18.4232,57.61,83,0,1.99,clear sky
60,Acapulco,MX,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
61,Port Elizabeth,ZA,-33.9258,18.4232,57.61,83,0,1.99,clear sky
62,Ingham,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
63,Ponta Do Sol,PT,37.7167,-25.4333,73.81,84,0,6.98,clear sky
64,Ambilobe,MG,-22.8167,47.8333,65.43,86,56,8.86,light rain
65,Carnarvon,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
66,Hervey Bay,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
67,Havre-Saint-Pierre,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
68,Lebu,CL,-53.15,-70.9167,44.11,73,80,11.07,broken clouds
69,Upernavik,GL,77.484,-69.3632,46.87,60,39,1.52,scattered clouds
70,Kahului,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
71,Jarwal,IN,10.5669,72.642,82.18,80,100,21.03,overcast clouds
72,Kishi,NG,9.0833,3.85,69.94,96,92,5.48,overcast clouds
73,Mataura,PF,-23.1203,-134.9692,73.96,75,21,16.35,few clouds
74,Grand Gaube,MU,-20.0064,57.6608,67.37,69,76,8.01,broken clouds
75,Abja-Paluoja,EE,58.1253,25.3497,49.86,78,4,4.32,clear sky
76,Luderitz,NA,-22.116,14.2845,54.86,85,3,8.84,clear sky
77,Mandalgovi,MN,45.7625,106.2708,63.88,45,47,8.39,scattered clouds
78,Barrow,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
79,Victoria,HK,22.2855,114.1577,84.16,95,100,3.0,moderate rain
80,College,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
81,Luanda,AO,-8.8368,13.2343,71.6,88,0,5.75,clear sky
82,Norman Wells,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
83,Mayo,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
84,Alice Springs,AU,-42.8794,147.3294,54.05,59,20,3.0,few clouds
85,San Patricio,MX,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
86,Moncagua,SV,13.5333,-88.25,88.34,56,100,2.48,overcast clouds
87,Lata,PT,40.1629,-8.3327,70.03,97,4,2.95,clear sky
88,San Cristobal,EC,-0.7393,-90.3518,73.54,84,79,7.0,broken clouds
89,Attawapiskat,CA,55.7435,-97.8558,71.51,24,42,5.1,scattered clouds
90,Lompoc,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
91,Laguna,BR,-29.1253,-56.5531,67.03,60,100,6.26,overcast clouds
92,Atar,MR,20.5169,-13.0499,101.34,13,2,10.4,clear sky
93,Waterloo,CA,43.4668,-80.5164,82.72,52,2,5.99,clear sky
94,Cabo San Lucas,MX,16.8634,-99.8901,86.04,66,90,6.67,overcast clouds
95,Riberalta,BO,-10.9833,-66.1,94.42,21,1,1.41,clear sky
96,Freeport,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
97,Sitka,US,19.7297,-155.09,81.81,87,39,4.0,scattered clouds
98,Luebo,CD,-5.35,21.4167,77.32,29,0,2.44,clear sky
99,Lagoa,PT,37.7167,-25.4333,73.81,84,0,6.98,clear sky
100,Manakara,MG,-22.1333,48.0167,63.81,83,64,3.96,light rain
101,Mandera,KE,3.9366,41.867,80.71,46,66,20.22,broken clouds
