City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sola,VU,77.97,few clouds,-13.8833,167.55,Leumerus Bungalows
2,Saint Anthony,US,84.34,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
3,Alofi,NU,73.69,broken clouds,-19.0595,-169.9187,Taloa Heights
5,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Hilo,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
10,Rikitea,PF,73.96,few clouds,-23.1203,-134.9692,People ThankYou
14,Puerto Ayora,EC,73.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
20,Thompson,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
24,Kavaratti,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
25,Sao Filipe,CV,78.39,overcast clouds,14.8961,-24.4956,Hotel Xaguate
29,Ponta Do Sol,CV,78.39,overcast clouds,14.8961,-24.4956,Hotel Xaguate
30,Hithadhoo,MV,80.71,moderate rain,-0.6,73.0833,Scoop Guest House
31,Moses Lake,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
32,Springville,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
33,Karpathos,GR,81.68,clear sky,35.507,27.2132,Alex
34,Yellowknife,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
35,Jamestown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
36,Saint-Augustin,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
39,Vila Franca Do Campo,PT,73.81,clear sky,37.7167,-25.4333,Pestana Bahia Praia
42,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
45,Aklavik,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
47,Meulaboh,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
49,Atuona,PF,73.96,few clouds,-23.1203,-134.9692,People ThankYou
50,Chicama,PE,72.82,clear sky,-7.8447,-79.1469,Balihai Bungalows
52,Curuguaty,PY,78.22,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
53,Kandi,BJ,72.48,broken clouds,11.1342,2.9386,Baric Motel De Kandi
55,Nome,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
56,Mancheral,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
60,Acapulco,MX,86.04,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
63,Ponta Do Sol,PT,73.81,clear sky,37.7167,-25.4333,Pestana Bahia Praia
67,Havre-Saint-Pierre,CA,71.51,scattered clouds,55.7435,-97.8558,Burntwood Hotel
70,Kahului,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
71,Jarwal,IN,82.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
73,Mataura,PF,73.96,few clouds,-23.1203,-134.9692,People ThankYou
78,Barrow,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
79,Victoria,HK,84.16,moderate rain,22.2855,114.1577,Mini Hotel Central
80,College,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
